titre,domaine,plateforme,date_scraping,tarif,duree
Développeur Backend Node.js (NestJS) – Freelance – Remote (Madagascar),Developpement Web,MadaAllStar,2026-04-23,non precise,non precisee
Community Manager & Assistant(e) Business / Monteur(se) Vidéo – 2 missions,Marketing Digital,MadaAllStar,2026-04-23,non precise,non precisee
Responsable marketing digital & community manager,Marketing Digital,MadaAllStar,2026-04-23,non precise,non precisee
Community Manager LinkedIn,Marketing Digital,MadaAllStar,2026-04-23,non precise,non precisee
Graphiste – Identité visuelle (Adobe Illustrator),Design Graphique,MadaAllStar,2026-04-23,non precise,non precisee
Assistant·e WordPress – Rédaction,Developpement Web,MadaAllStar,2026-04-23,non precise,non precisee
SDR / spécialiste lead generation,Marketing Digital,MadaAllStar,2026-04-23,non precise,non precisee
Expert(e) Design (réseaux sociaux) / Expert(e) Montage vidéo / Assistant(e) virtuel(le) – 3 postes,Design Graphique,MadaAllStar,2026-04-23,non precise,non precisee
Assistant-e-s Comptabilité et/ou Service clientèle (2 postes),Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Assistant·e Commercial·e (Mi-temps – 100% Télétravail),Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Développeur-se Web Windev – Poste polyvalent à long terme,Developpement Web,MadaAllStar,2026-04-23,non precise,non precisee
Assistant-e-s web polyvalent-e-s (2 postes),Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Assistant·e comptable et administratif,Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Envoi de Messages sur Instagram (Mission Simple),Autre,MadaAllStar,2026-04-23,non precise,non precisee
Nous recherchons trois personnes ayant des compétences en comptabilité,Autre,MadaAllStar,2026-04-23,non precise,non precisee
Web Designer / Designeuse Shopify,Developpement Web,MadaAllStar,2026-04-23,non precise,non precisee
Graphiste – Création de BAT sur Illustrator,Design Graphique,MadaAllStar,2026-04-23,non precise,non precisee
Développeur.euse Web WordPress Elementor,Developpement Web,MadaAllStar,2026-04-23,non precise,non precisee
Web Designer pour le relifting du site sizeplus.be,Design Graphique,MadaAllStar,2026-04-23,non precise,non precisee
Assitant(e) virtuel(le) polyvalent(e),Autre,MadaAllStar,2026-04-23,non precise,non precisee
Assistant(e) service après vente,Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Rédacteur Web SEO | Secteur Assurances et Finances,Redaction SEO,MadaAllStar,2026-04-23,non precise,non precisee
"Community management, Nettoyage podcast et Montage vidéo",Marketing Digital,MadaAllStar,2026-04-23,non precise,non precisee
Envoi de mailings – Assistant(e),Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Mise en forme sur Canva – Graphiste junior,Design Graphique,MadaAllStar,2026-04-23,non precise,non precisee
Créateur(trice) de contenu digital,Autre,MadaAllStar,2026-04-23,non precise,non precisee
Recherche de freelances débutants ou intermédiaires dans le domaine du digital,Autre,MadaAllStar,2026-04-23,non precise,non precisee
Développeur WordPress Elementor,Developpement Web,MadaAllStar,2026-04-23,non precise,non precisee
Assistant(e) / Gestion du site,Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Assistant(e) personnel(le),Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Assistant.e virtuel.le,Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Charger de recrutement informatique,Autre,MadaAllStar,2026-04-23,non precise,non precisee
Assistant Excel H/F,Assistanat / Admin,MadaAllStar,2026-04-23,non precise,non precisee
Webmaster PrestaShop,Developpement Web,MadaAllStar,2026-04-23,non precise,non precisee
Rédacteur SEO H/F,Redaction SEO,MadaAllStar,2026-04-23,non precise,non precisee
Adjoint(e) de Direction Marketing et communications,Marketing Digital,MadaAllStar,2026-04-23,non precise,non precisee
Creation sites internet et création de e-boutiques,Autre,MadaAllStar,2026-04-23,non precise,non precisee
Assistant – Assistante SEO / Responsable Netlinking,Redaction SEO,MadaAllStar,2026-04-23,non precise,non precisee
Content manager / Responsable de la publication,Marketing Digital,MadaAllStar,2026-04-23,non precise,non precisee
Rédacteur ou Rédactrice SEO,Redaction SEO,MadaAllStar,2026-04-23,non precise,non precisee
Rédacteur/Rédactrice Web,Autre,MadaAllStar,2026-04-23,non precise,non precisee
